ID,Waiting Time,Response Time,Turn Around Time,Algorithm
248,79862,80863,80862,FCFS
249,80640,81292,81292,FCFS
1,198,209,208,SJF
0,17,860,854,SJF
2,494,568,568,SJF
3,303,467,466,SJF
10,13,23,23,SJF
5,443,939,938,SJF
15,53,558,558,SJF
23,53,63,63,SJF
22,39,301,301,SJF
26,29,141,141,SJF
29,15,137,136,SJF
30,100,150,150,SJF
32,19,30,30,SJF
31,24,337,337,SJF
41,84,577,576,SJF
49,67,87,87,SJF
52,49,60,60,SJF
53,45,438,438,SJF
54,70,713,714,SJF
66,59,230,230,SJF
68,190,270,270,SJF
64,146,598,598,SJF
69,93,103,103,SJF
67,89,712,712,SJF
71,676,776,777,SJF
47,3273,3373,3373,SJF
79,161,251,251,SJF
83,55,387,387,SJF
87,51,61,61,SJF
95,63,164,164,SJF
103,51,142,142,SJF
101,214,495,495,SJF
97,57,1417,1417,SJF
110,79,111,111,SJF
113,67,117,117,SJF
85,60,3394,3394,SJF
123,36,197,197,SJF
119,9,735,735,SJF
126,328,418,418,SJF
141,63,124,124,SJF
144,17,28,28,SJF
130,67,1464,1464,SJF
138,34,717,717,SJF
150,34,205,204,SJF
143,13,875,875,SJF
156,64,74,74,SJF
161,12,315,315,SJF
167,86,217,217,SJF
172,94,234,235,SJF
173,54,84,84,SJF
174,78,269,269,SJF
178,40,272,272,SJF
166,455,1832,1833,SJF
183,49,362,362,SJF
185,59,270,270,SJF
99,71,9230,9229,SJF
194,68,159,159,SJF
169,3422,3523,3523,SJF
170,83,3442,3442,SJF
204,8,59,59,SJF
206,67,539,539,SJF
210,75,106,106,SJF
216,24,74,74,SJF
184,42,3419,3419,SJF
219,88,258,259,SJF
224,112,313,313,SJF
109,11537,11638,11638,SJF
228,31,42,42,SJF
231,33,346,346,SJF
236,34,114,114,SJF
232,367,548,548,SJF
98,24,14212,14212,SJF
241,56,106,106,SJF
243,31,52,52,SJF
242,74,907,907,SJF
245,24,617,617,SJF
246,29,1193,1193,SJF
249,2,985,985,SJF
247,20,1454,1454,SJF
211,4908,5009,5009,SJF
177,31,8768,8768,SJF
213,80,5235,5235,SJF
120,7,14686,14686,SJF
226,86,4065,4066,SJF
35,76,23541,23540,SJF
244,33,2761,2761,SJF
111,21,16166,16166,SJF
128,154,14797,14797,SJF
122,51,15500,15500,SJF
127,77,15051,15051,SJF
133,8,14616,14616,SJF
136,2,14630,14630,SJF
129,38,15563,15563,SJF
142,850,14672,14672,SJF
158,50,13541,13540,SJF
155,13820,13940,13939,SJF
151,14220,14341,14340,SJF
8,28748,28868,28868,SJF
82,136,22038,22038,SJF
164,18,14029,14030,SJF
165,469,14188,14188,SJF
50,72,27040,27039,SJF
55,7,27052,27052,SJF
200,62,12968,12968,SJF
203,75,12990,12990,SJF
207,39,12912,12913,SJF
108,22613,22733,22733,SJF
205,425,13438,13438,SJF
112,45,23208,23208,SJF
115,66,23142,23142,SJF
227,11,12655,12655,SJF
159,19813,20013,20013,SJF
118,96,24512,24512,SJF
240,28,12785,12785,SJF
239,39,13056,13056,SJF
27,259,35033,35033,SJF
74,109,30771,30771,SJF
72,80,31104,31104,SJF
132,37,25367,25367,SJF
60,32455,32656,32656,SJF
17,31,37241,37241,SJF
39,69,35275,35274,SJF
81,27,31295,31295,SJF
37,81,36512,36512,SJF
6,108,40014,40014,SJF
160,69,24747,24748,SJF
154,25448,25649,25649,SJF
40,70,37491,37491,SJF
162,88,25477,25477,SJF
163,18,25666,25666,SJF
21,60,40683,40683,SJF
44,38164,38364,38363,SJF
19,52,41086,41086,SJF
182,31,25193,25193,SJF
188,19,25177,25177,SJF
96,55,34704,34704,SJF
43,39921,40121,40121,SJF
198,12,24986,24986,SJF
91,3,35654,35654,SJF
11,86,44153,44153,SJF
57,9,39793,39793,SJF
58,71,40665,40665,SJF
94,38137,38437,38437,SJF
221,60,26066,26066,SJF
28,51,46348,46348,SJF
36,40,47129,47128,SJF
61,41,44958,44958,SJF
237,7,28507,28507,SJF
62,13,46621,46622,SJF
116,41717,42017,42017,SJF
63,19,47367,47367,SJF
117,92,42393,42393,SJF
238,201,30642,30641,SJF
70,35,47880,47881,SJF
124,9,43015,43015,SJF
73,14,48209,48209,SJF
89,76,47311,47311,SJF
131,25422,43243,43244,SJF
90,109,47934,47934,SJF
230,14,34053,34054,SJF
134,38,43877,43877,SJF
42,65,53351,53350,SJF
34,133,54672,54672,SJF
77,50635,50935,50935,SJF
14,7,57676,57675,SJF
208,15,38751,38751,SJF
147,44682,44982,44982,SJF
106,93,49804,49804,SJF
45,67,56184,56183,SJF
20,33,58863,58863,SJF
88,52187,52488,52488,SJF
148,46796,47097,47097,SJF
146,41,47569,47569,SJF
152,39,47526,47526,SJF
222,40537,40838,40838,SJF
38,176,59602,59601,SJF
157,38,47984,47984,SJF
215,16,42502,42502,SJF
114,40,53254,53254,SJF
153,69,49628,49628,SJF
218,6,43382,43382,SJF
84,1063,57034,57034,SJF
18,3835,64750,64750,SJF
176,301,49531,49531,SJF
102,42,56951,56951,SJF
92,54,58460,58461,SJF
179,90,49950,49950,SJF
197,22262,48392,48392,SJF
181,88,50257,50257,SJF
104,29,58491,58491,SJF
202,60,49210,49210,SJF
56,36618,64049,64050,SJF
209,66,49203,49202,SJF
199,3086,50462,50462,SJF
100,75,60509,60509,SJF
195,254,51346,51346,SJF
46,38984,67114,67114,SJF
24,2493,69741,69741,SJF
107,50,61764,61764,SJF
171,14,56266,56266,SJF
51,65,69302,69302,SJF
4,597,75467,75466,SJF
135,43,63300,63300,SJF
192,90,58140,58140,SJF
168,19373,61020,61020,SJF
193,3379,59603,59603,SJF
140,77,65324,65324,SJF
234,52,56590,56590,SJF
65,27,73889,73890,SJF
212,59563,60063,60063,SJF
145,44,67300,67300,SJF
13,72,81193,81193,SJF
229,19,60403,60403,SJF
149,897,68921,68921,SJF
121,25,72311,72311,SJF
189,53,66161,66161,SJF
25,19,82899,82899,SJF
190,50,67040,67040,SJF
125,53,74517,74517,SJF
12,66,86072,86072,SJF
137,36,74293,74293,SJF
7,142,87746,87746,SJF
201,12950,69351,69351,SJF
175,71,72353,72353,SJF
33,51,87242,87242,SJF
191,813,71721,71721,SJF
225,8,68853,68853,SJF
139,131,77969,77969,SJF
220,49,70538,70538,SJF
86,8,84418,84418,SJF
223,24,71233,71233,SJF
105,1082,83520,83520,SJF
196,66,74970,74970,SJF
16,53,93181,93181,SJF
186,632,76797,76797,SJF
59,83,90093,90093,SJF
214,10,75077,75077,SJF
248,58,72193,72193,SJF
78,14,89704,89704,SJF
9,38,96967,96967,SJF
80,56,90436,90436,SJF
233,59,75764,75763,SJF
76,30024,91786,91786,SJF
48,35,94984,94985,SJF
217,19,78605,78605,SJF
187,19,82253,82253,SJF
75,118,93782,93782,SJF
93,20,92515,92515,SJF
180,19,84379,84379,SJF
235,79035,79535,79535,SJF
Throughput: 8730 Patrons/hr
